topic_id,post_number,post_id,date,topic_title,category,reply_to_user,word_count,post_url,fetched_at
163471,28,2963732,2020-08-24,Burgundy's 2020 vintage in pictures,WINE TALK,,42,https://www.wineberserkers.com/t/burgundys-2020-vintage-in-pictures/163471/28,2026-05-07T05:31:48+00:00
162791,84,2967047,2020-08-28,Upcoming 2020 Burgundy vintage,WINE TALK,,133,https://www.wineberserkers.com/t/upcoming-2020-burgundy-vintage/162791/84,2026-05-07T05:31:48+00:00
163595,8,2967427,2020-08-29,Birth Year Wine 1980,WINE TALK,,61,https://www.wineberserkers.com/t/birth-year-wine-1980/163595/8,2026-05-07T05:31:48+00:00
163595,29,2968056,2020-08-30,Birth Year Wine 1980,WINE TALK,,22,https://www.wineberserkers.com/t/birth-year-wine-1980/163595/29,2026-05-07T05:31:48+00:00
163595,30,2968058,2020-08-30,Birth Year Wine 1980,WINE TALK,,41,https://www.wineberserkers.com/t/birth-year-wine-1980/163595/30,2026-05-07T05:31:48+00:00
163595,31,2968059,2020-08-30,Birth Year Wine 1980,WINE TALK,,23,https://www.wineberserkers.com/t/birth-year-wine-1980/163595/31,2026-05-07T05:31:48+00:00
163622,4,2968152,2020-08-30,"Premox in Loire SB (yes, you can age a few)",WINE TALK,,11,https://www.wineberserkers.com/t/premox-in-loire-sb-yes-you-can-age-a-few/163622/4,2026-05-07T05:31:48+00:00
163622,7,2968186,2020-08-30,"Premox in Loire SB (yes, you can age a few)",WINE TALK,,63,https://www.wineberserkers.com/t/premox-in-loire-sb-yes-you-can-age-a-few/163622/7,2026-05-07T05:31:48+00:00
163601,11,2968861,2020-08-31,"TN: 1996 Château Montrose (France, Bordeaux, Médoc, St. Estèphe)",WINE TALK,,24,https://www.wineberserkers.com/t/tn-1996-chateau-montrose-france-bordeaux-medoc-st-estephe/163601/11,2026-05-07T05:31:48+00:00
163611,3,2968803,2020-08-31,"TN: 2016 Domaine Pattes Loup Chablis Vent d'Ange (France, Burgundy, Chablis)",WINE TALK,,13,https://www.wineberserkers.com/t/tn-2016-domaine-pattes-loup-chablis-vent-dange-france-burgundy-chablis/163611/3,2026-05-07T05:31:48+00:00
162791,88,2969409,2020-09-01,Upcoming 2020 Burgundy vintage,WINE TALK,,157,https://www.wineberserkers.com/t/upcoming-2020-burgundy-vintage/162791/88,2026-05-07T05:31:48+00:00
163658,3,2969376,2020-09-01,2017 Domaine Guillemot-Michel Viré-Clessé Quintaine,WINE TALK,,82,https://www.wineberserkers.com/t/2017-domaine-guillemot-michel-vire-clesse-quintaine/163658/3,2026-05-07T05:31:48+00:00
163772,8,2972555,2020-09-05,TN: 2014 Mugneret-Gibourg Nuits-Saint-Georges 1er Les Chaignots,WINE TALK,,97,https://www.wineberserkers.com/t/tn-2014-mugneret-gibourg-nuits-saint-georges-1er-les-chaignots/163772/8,2026-05-07T05:31:48+00:00
163772,16,2972663,2020-09-05,TN: 2014 Mugneret-Gibourg Nuits-Saint-Georges 1er Les Chaignots,WINE TALK,,12,https://www.wineberserkers.com/t/tn-2014-mugneret-gibourg-nuits-saint-georges-1er-les-chaignots/163772/16,2026-05-07T05:31:48+00:00
163899,5,2975505,2020-09-10,2018 Red Burgs - time to crack a few!,WINE TALK,,89,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/5,2026-05-07T05:31:47+00:00
163899,11,2976126,2020-09-11,2018 Red Burgs - time to crack a few!,WINE TALK,,102,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/11,2026-05-07T05:31:47+00:00
163899,15,2976150,2020-09-11,2018 Red Burgs - time to crack a few!,WINE TALK,,62,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/15,2026-05-07T05:31:47+00:00
163919,6,2976401,2020-09-11,"TN: 2007 Domaine Roulot Bourgogne-Aligoté (France, Burgundy, Bourgogne-Aligoté)",WINE TALK,,54,https://www.wineberserkers.com/t/tn-2007-domaine-roulot-bourgogne-aligote-france-burgundy-bourgogne-aligote/163919/6,2026-05-07T05:31:48+00:00
163899,23,2977010,2020-09-12,2018 Red Burgs - time to crack a few!,WINE TALK,,23,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/23,2026-05-07T05:31:47+00:00
163946,26,2977317,2020-09-12,At What Price Point Will You Boycott The 2008 Taittinger Comtes?,WINE TALK,,14,https://www.wineberserkers.com/t/at-what-price-point-will-you-boycott-the-2008-taittinger-comtes/163946/26,2026-05-07T05:31:48+00:00
163964,2,2977032,2020-09-12,"2001 Côte de Nuits, which producers really killed it?",WINE TALK,,14,https://www.wineberserkers.com/t/2001-cote-de-nuits-which-producers-really-killed-it/163964/2,2026-05-07T05:31:48+00:00
163964,7,2977129,2020-09-12,"2001 Côte de Nuits, which producers really killed it?",WINE TALK,,33,https://www.wineberserkers.com/t/2001-cote-de-nuits-which-producers-really-killed-it/163964/7,2026-05-07T05:31:48+00:00
163964,11,2977233,2020-09-12,"2001 Côte de Nuits, which producers really killed it?",WINE TALK,,23,https://www.wineberserkers.com/t/2001-cote-de-nuits-which-producers-really-killed-it/163964/11,2026-05-07T05:31:48+00:00
