producer	wine	vintage	country	region	subregion	price
Domaine des	Remizières Hermitage Blanc "Cuvée Émilie"	2024	France	Rhône	Hermitage	$84.99
Domaine des	Pierres Seches St. Joseph Blanc "Cuvee 1930"	2020	France	Rhône	Saint-Joseph	$76.99
Domaine des	Pierres Seches St. Joseph Rouge "Cuvee 1930"	2022	France	Rhône	Saint-Joseph	$76.99
Domaine des	Miquettes St. Joseph "Madloba"	2022	France	Rhône	Saint-Joseph	$63.99
Domaine des	Pierres Sèches St. Joseph "Revirand"	2023	France	Rhône	Saint-Joseph	$53.99
Domaine Des	Pierres Sèches St. Joseph Rouge	2023	France	Rhône	Saint-Joseph	$37.99
Domaine des	Pierres Seches St. Joseph Blanc	2023	France	Rhône	Saint-Joseph	$37.99
Domaine des Pierres Seches	Saint Joseph Cuvee 1930 Blanc	2022	France	Rhône	Saint-Joseph	$62.99
Domaine des Pierres Seches	St. Joseph Revirand	2021	France	Rhône	Saint-Joseph	$51.99
Domaine des Pierres Seches	St. Joseph Revirand	2022	France	Rhône	Saint-Joseph	$51.99
Domaine des Pierres Seches	St. Joseph Blanc	2023	France	Rhône	Saint-Joseph	$34.99
Domaine des Pierres Seches	Saint Joseph Rouge	2022	France	Rhône	Saint-Joseph	$29.99
Domaine des Pierres Seches	St. Joseph Blanc	2023	France	Rhône	Saint-Joseph	$29.99
Domaine des Roches Neuves	Les Memoires Saumur Champigny Rouge (5028)	2017	France	Loire		$47.99
Domaine des Roches Neuves	Saumur Champigny Marginale (4291)	2018	France	Loire		$47.99
Domaine des Roches Neuves	Franc de Pied Saumur Champigny (5327)	2018	France	Loire		$41.99
Domaine des Roches Neuves	Clos de lEchelier Saumur Champigny Rouge	2019	France	Loire		$67.99
Domaine des Roches Neuves	Saumur Franc de Pied (5326)	2019	France	Loire		$43.99
Domaine des Roches Neuves	Clos de lEchelier Saumur Champigny Rouge (5325)	2019	France	Loire		$47.99
Domaine des Roches Neuves	Franc de Pied Saumur Champigny	2020	France	Loire		$51.99
Domaine des Roches Neuves	Clos de lEchelier Saumur Champigny Rouge	2020	France	Loire		$51.99
Domaine des Roches Neuves	Les Memoires Saumur Champigny Rouge	2021	France	Loire		$52.99
Domaine des Roches Neuves	Franc de Pied Saumur Champigny	2021	France	Loire		$46.99
Domaine des Roches Neuves	Franc de Pied Saumur Champigny	2021	France	Loire		$48.99
Domaine des Roches Neuves	Clos Romans	2022	France	Loire		$84.99
Domaine des Roches Neuves	Clos dEchalier Blanc	2022	France	Loire		$69.99
Domaine des Roches Neuves	Clos de lEchelier Blanc	2022	France	Loire		$71.99
Domaine des Roches Neuves	Franc de Pied Saumur Champigny	2022	France	Loire		$56.99
Domaine des Roches Neuves	Franc de Pied Saumur Champigny	2022	France	Loire		$58.99
Domaine des Roches Neuves	Les Memoires Saumur Champigny Rouge	2022	France	Loire		$64.99
Domaine des Roches Neuves	Clos de lEchelier Saumur Champigny Rouge	2022	France	Loire		$59.99
Domaine des Rutissons	Etraire de la Huy	2021	Italy	Italy		$29.99
Domaine des Rutissons	M. Leblanc	2020	France	Savoie		$26.90
Domaine des Rutissons	Verdesse IGP	2021	France	Savoie		$29.99
Domaine des Rutissons	Etraire de la Huy	2021	France	Savoie		$29.99
Domaine des Rutissons	Etraire de la Huy	2023	France	Savoie		$29.99
Domaine du	Tunnel St. Peray "Pur Blanc"	2024	France	Rhône		$110.00
Domaine du	Tunnel Condrieu	2024	France	Rhône		$91.99
Domaine du	Tunnel Cornas	2022	France	Rhône	Cornas	$61.99
Domaine du Tunnel	Cornas Vin Noir	2021	France	Rhône	Cornas	$92.99
Domaine du Tunnel	Cornas Vin Noir	2021	France	Rhône	Cornas	$89.99
Domaine du Tunnel	Cornas Vin Noir (GCP)	2021	France	Rhône	Cornas	$89.99
Domaine du Tunnel	St. Peray Pur Blanc	2023	France	Rhône		$89.99
Domaine du Tunnel	Cornas Vin Noir	2021	France	Rhône	Cornas	$87.99
Domaine du Tunnel	Condrieu	2023	France	Rhône		$77.99
Domaine du Tunnel	Cornas	2022	France	Rhône	Cornas	$58.99
Domaine du Tunnel	St. Peray Cuvee Prestige	2023	France	Rhône		$57.99
Domaine du Tunnel	St. Peray Cuvee Roussanne (5376)	2021	France	Rhône		$49.99
Domaine du Vissoux	Fleurie Poncie	2019	France	Beaujolais		$25.99
Domaine Gallet	Cote Rotie	2022	France	Rhône	Côte-Rôtie	$50.99
Domaine Gallet	VDF Cuvee Gallet Jade	2023	France	Rhône		$25.99
Domaine Grosbot-Barbara	Les Maltotes Cuvée PP 13 Saint-Pourçain Blanc	2023	France	Beaujolais		$41.99
Domaine Jasmin	Cote-Rotie "Olea"	2020	France	Rhône	Côte-Rôtie	$79.99
Domaine Jean-Marc and Hugues Pavelot	Savigny Les Beaune 1er Cru La Dominode	2021	France	Burgundy	Savigny-lès-Beaune	$59.99
Domaine Jean-Marc and Hugues Pavelot	Savigny Les Beaune 1er Cru La Dominode	2022	France	Burgundy	Savigny-lès-Beaune	$57.99
Domaine Jean-Marc and Hugues Pavelot	Savigny Les Beaune 1er Cru Aux Gravains	2022	France	Burgundy	Savigny-lès-Beaune	$54.99
DOMAINE MARC JAMBON ET FILS	Macon Pierriclos Le Carruge	2022	France	Burgundy	Mâcon	$29.99
DOMAINE MARC JAMBON ET FILS	Bourgogne Aligote	2023	France	Burgundy		$20.99
Domaine Michellas St Jemmes	Cornas Terres dArces	2020	France	Rhône	Cornas	$74.99
Domaine Philippe	Naddef Fixin Vieilles Vignes	2023	France	Burgundy		$64.99
Domaine Philippe Naddef	Marsannay Les Genelieres	2023	France	Burgundy		$38.99
Domaine Rebourgeon	Beaune "Epenottes"	2023	France	Burgundy	Beaune	$51.99
Domaine Saint-Damien	Gigondas Vieilles Vignes	2023	France	Rhône	Gigondas	$31.99
Domaine Saint-Damien	Domaine Saint-Damien Gigondas Vieilles Vignes	2023	France	Southern Rhône		$31.99
Domaine Servin	Chablis 1er Cru Monte de Tonnere	2022	France	Burgundy	Chablis	$34.99
Domaine Servin	Chablis Grand Cru Les Clos	2023	France	Burgundy	Chablis	$84.99
Domaine St. Gayan	Gigondas In Nominae Patris	2019	France	Rhône	Gigondas	$49.99
Dönnhoff	Niederhäuser Hermannshöhle Spätlese	2023	Germany	Nahe		$51.99
Dr Burklin Wolf	Pechstein Riesling GC	2023	Germany	Pfalz	Pfalz	$200.00
Dr Wehrheim	Sonnenschein Spatburgnder GG	2021	Germany	Germany		$59.99
