Name,producer_guess,Vintage,Format,Category,Price,price_usd,Region/Notes
Paul Jaboulet Aîné - Crozes-Hermitage Les Jalets,Paul Jaboulet Aîné,2001,750ml,Red Wine,$35.99,35.99,Rhone Valley (Rhone Blend)
Domaine Chapel - Fleurie Charbonniers,Domaine Chapel,2022,750ml,Red Wine,$29.99,29.99,Burgundy (Gamay)
La Bouche Du Roi - Coquille Rogue Cabernet Franc,La Bouche Du Roi,2022,750ml,Red Wine,$35.99,35.99,Burgundy (Cabernet Franc)
Lucien Crochet - Sancerre La Croix du Roy,Lucien Crochet,NV,750ml,White Wine,$35.99,35.99,Sancerre
Anne Sophie Dubois - Fleurie L'Alchimiste,Anne Sophie Dubois,2023,750ml,Red Wine,$35.99,35.99,Burgundy (Gamay)
Lapierre - Le Beaujolais,Lapierre,NV,750ml,Red Wine,$35.99,35.99,Beaujolais Villages (Gamay)
Chateau Les Tuileries Bordeaux,Chateau Les Tuileries Bordeaux,NV,3L,Red Wine,$35.99,35.99,Bordeaux Blend
Les Fiefs de Lagrange - St.-Julien,Les Fiefs de Lagrange,2018,750ml,Red Wine,$35.99,35.99,St.-Julien (Bordeaux Blend)
Faiveley - Bourgogne Rouge Pinot Noir,Faiveley,2021,750ml,Red Wine,$35.99,35.99,Pinot Noir
Chateau L'Avocat - Graves,Chateau L'Avocat,2016,750ml,Red Wine,$35.99,35.99,Graves (Cabernet Sauvignon Blend)
E. Guigal - Gigondas,E. Guigal,2020,750ml,Red Wine,$34.19,34.19,"JD: 93, WS: 92"
Chateau Tour Pibran - Paulillac,Chateau Tour Pibran,2016,750ml,Red Wine,$37.99,37.99,Pauillac (Bordeaux Blend)
Blason D'Issan - Margaux,Blason D'Issan,2019,750ml,Red Wine,$34.19,34.19,"Margaux (JS: 94, JD: 91)"
La Bouche Du Roi - Sauvignon Blanc Grande Vue,La Bouche Du Roi,2023,750ml,White Wine,$34.19,34.19,Burgundy (Sauvignon Blanc)
